Area,Record_Count,Mean_Change,Median_Change,Std_Deviation,Min_Change,Max_Change,Skewness,Range,Coefficient_of_Variation,Region,Climate_Risk_Score,Risk_Category,Cluster,Country,Temp_Volatility_Ratio,Extreme_Event_Indicator,Trend_Acceleration,Region_Factor,Advanced_Impact_Score,Analysis_Date,Risk_Level,High_Variability,Extreme_Change
South Sudan,170,1.1577,1.212,0.6678,-0.97,2.931,-0.1185,3.901,0.5768333765224151,East Africa,0.5124492064567654,Moderate,0,South Sudan,0.5763355484594805,0,0.0033764102343961,1.1,0.3760801932793886,2025-08-03T19:02:30.646628,Moderate,0,0
Libya,187,1.1451,1.2,1.0838,-2.177,3.78,-0.165,5.957,0.946467557418566,North Africa,0.7443052874634889,High,4,Libya,0.9456417415583284,1,-0.0712374093106728,1.3,0.5840271495685528,2025-08-03T19:02:30.646628,High,0,0
Nigeria,187,1.141,1.157,0.6114,-0.943,3.287,0.0632,4.23,0.5358457493426819,West Africa,0.4946886000019015,Moderate,0,Nigeria,0.5353765323992996,0,-0.0272191362262591,1.2,0.4181963111118618,2025-08-03T19:02:30.646628,Moderate,0,0
South Africa,187,1.1206,1.113,0.6456,-0.598,3.151,0.2443,3.749,0.576119935748706,Southern Africa,0.4824126417037698,Moderate,0,South Africa,0.5756062767475035,0,0.0055461294854933,1.1,0.3697160189475987,2025-08-03T19:02:30.646628,Moderate,0,0
Zambia,186,1.1142,1.093,0.7738,-1.079,3.685,0.0053,4.764,0.6944893196912583,Southern Africa,0.5663120076659538,Moderate,4,Zambia,0.6938665710186515,1,-0.0575496788711151,1.1,0.4865300720176231,2025-08-03T19:02:30.646628,Moderate,0,0
Togo,187,1.1139,1.175,0.3684,0.002,1.906,-0.4222,1.904,0.3307298680312416,West Africa,0.3046124350853296,Low,1,Togo,0.3304332227105571,0,0.0187849009172836,1.2,0.345245883127304,2025-08-03T19:02:30.646628,Low,0,0
Benin,187,1.1098,1.14,0.4225,-0.467,2.217,-0.4073,2.684,0.380699225085601,West Africa,0.3518896093324074,Low,1,Benin,0.3803564998199496,0,-0.0300319344959402,1.2,0.3778321432238106,2025-08-03T19:02:30.646628,Low,0,0
Mali,187,1.1074,1.123,0.7318,-1.038,3.889,0.1275,4.927,0.6608271627234965,West Africa,0.552590140815878,Moderate,4,Mali,0.6602309635510647,1,-0.0145846874896638,1.2,0.4124107774012716,2025-08-03T19:02:30.646628,Moderate,0,0
Sudan,170,1.1008,1.056,0.8282,-1.367,3.774,-0.1807,5.141,0.7523619186046512,North Africa,0.5954371149501265,Moderate,4,Sudan,0.7516790706117263,1,-0.0300853306114698,1.3,0.468869084158042,2025-08-03T19:02:30.646628,Moderate,0,0
Guinea,187,1.0995,1.147,0.4491,-0.319,2.431,-0.3067,2.75,0.4084583901773533,West Africa,0.3603305938111548,Low,1,Guinea,0.4080872330758747,0,0.0926139092254468,1.2,0.4694323741652446,2025-08-03T19:02:30.646628,Low,0,0
Ethiopia,187,1.0909,1.076,0.4288,0.0,3.014,0.284,3.014,0.3930699422495187,East Africa,0.3579925603775679,Low,1,Ethiopia,0.3927099551240957,0,-0.0006748612368966,1.1,0.3091558987139498,2025-08-03T19:02:30.646628,Low,0,0
Kenya,187,1.0893,1.098,0.4512,-0.813,2.915,-0.2597,3.728,0.4142109611677224,East Africa,0.391476103680108,Low,1,Kenya,0.4138310556727507,0,-0.052885546447795,1.1,0.4093524679665573,2025-08-03T19:02:30.646628,Low,0,0
Ghana,187,1.0845,1.109,0.3244,0.11,1.934,-0.1073,1.824,0.299124020285846,West Africa,0.2718121040836593,Low,1,Ghana,0.2988484569322893,0,0.0411272456051594,1.2,0.3713468733172197,2025-08-03T19:02:30.646628,Low,0,0
