Model_Name,Model_Type,R2_Score,RMSE,Status,Export_Date
Random Forest,Regression,0.26772325797211005,0.5888089506086864,Trained,2025-08-03T19:02:30.637504
Linear Regression,Regression,0.015999181594963274,0.6825500655091756,Trained,2025-08-03T19:02:30.637523
Best_Model_Overall,Best_Performer,0.26772325797211005,0.5888089506086864,Selected,2025-08-03T19:02:30.637531
