Months,mean,median,std,count
January,0.8496,0.908,0.7901,619
February,0.9969,1.043,0.9322,619
March,1.1768,1.15,0.8184,621
April,1.2026,1.15,0.8506,617
May,1.1866,1.1775,0.7003,618
June,1.1997,1.1675,0.5939,616
July,1.1882,1.184,0.6357,613
August,1.1247,1.094,0.6422,619
September,1.1033,1.087,0.6342,619
October,1.1535,1.086,0.7783,620
November,1.1679,1.152,0.641,625
December,1.0388,0.9925,0.8003,622
