Area,Record_Count,Mean_Change,Median_Change,Std_Deviation,Min_Change,Max_Change,Skewness,Range,Coefficient_of_Variation,Region,Climate_Risk_Score,Risk_Category,Cluster,Country,Temp_Volatility_Ratio,Extreme_Event_Indicator,Trend_Acceleration,Region_Factor,Advanced_Impact_Score,Analysis_Date
Eritrea,177,1.1681,1.123,0.881,-1.001,3.644,0.3958,4.645,0.7542162486088521,East Africa,0.6275071034948412,High,4,Eritrea,0.7535711230861347,0,0.07328243844607771,1.1,0.5366098342382669,2025-08-03T19:02:30.646628
Democratic Republic of the Congo,187,1.1614,1.252,0.4537,-0.075,2.183,-0.4136,2.258,0.3906492164628896,Central Africa,0.3711902254467355,Low,1,Democratic Republic of the Congo,0.3903131452167929,0,-0.011288815024326784,1.0,0.3372081336768367,2025-08-03T19:02:30.646628
South Sudan,170,1.1577,1.212,0.6678,-0.97,2.931,-0.1185,3.901,0.5768333765224151,East Africa,0.5124492064567654,Moderate,0,South Sudan,0.5763355484594805,0,0.003376410234396192,1.1,0.3760801932793886,2025-08-03T19:02:30.646628
Libya,187,1.1451,1.2,1.0838,-2.177,3.78,-0.165,5.957,0.946467557418566,North Africa,0.7443052874634889,High,4,Libya,0.9456417415583284,1,-0.07123740931067284,1.3,0.5840271495685528,2025-08-03T19:02:30.646628
Nigeria,187,1.141,1.157,0.6114,-0.943,3.287,0.0632,4.23,0.5358457493426819,West Africa,0.4946886000019015,Moderate,0,Nigeria,0.5353765323992996,0,-0.027219136226259134,1.2,0.41819631111186184,2025-08-03T19:02:30.646628
South Africa,187,1.1206,1.113,0.6456,-0.598,3.151,0.2443,3.749,0.576119935748706,Southern Africa,0.4824126417037698,Moderate,0,South Africa,0.5756062767475035,0,0.005546129485493305,1.1,0.3697160189475987,2025-08-03T19:02:30.646628
Zambia,186,1.1142,1.093,0.7738,-1.079,3.685,0.0053,4.764,0.6944893196912583,Southern Africa,0.5663120076659538,Moderate,4,Zambia,0.6938665710186515,1,-0.057549678871115145,1.1,0.4865300720176231,2025-08-03T19:02:30.646628
Togo,187,1.1139,1.175,0.3684,0.002,1.906,-0.4222,1.904,0.3307298680312416,West Africa,0.3046124350853296,Low,1,Togo,0.3304332227105571,0,0.0187849009172836,1.2,0.34524588312730403,2025-08-03T19:02:30.646628
Benin,187,1.1098,1.14,0.4225,-0.467,2.217,-0.4073,2.684,0.380699225085601,West Africa,0.3518896093324074,Low,1,Benin,0.3803564998199496,0,-0.03003193449594025,1.2,0.3778321432238106,2025-08-03T19:02:30.646628
Mali,187,1.1074,1.123,0.7318,-1.038,3.889,0.1275,4.927,0.6608271627234965,West Africa,0.552590140815878,Moderate,4,Mali,0.6602309635510647,1,-0.01458468748966384,1.2,0.4124107774012716,2025-08-03T19:02:30.646628
Sudan,170,1.1008,1.056,0.8282,-1.367,3.774,-0.1807,5.141,0.7523619186046512,North Africa,0.5954371149501265,Moderate,4,Sudan,0.7516790706117263,1,-0.030085330611469847,1.3,0.468869084158042,2025-08-03T19:02:30.646628
Guinea,187,1.0995,1.147,0.4491,-0.319,2.431,-0.3067,2.75,0.4084583901773533,West Africa,0.3603305938111548,Low,1,Guinea,0.4080872330758747,0,0.09261390922544689,1.2,0.4694323741652446,2025-08-03T19:02:30.646628
Ethiopia,187,1.0909,1.076,0.4288,0.0,3.014,0.284,3.014,0.3930699422495187,East Africa,0.3579925603775679,Low,1,Ethiopia,0.3927099551240957,0,-0.0006748612368966961,1.1,0.3091558987139498,2025-08-03T19:02:30.646628
Kenya,187,1.0893,1.098,0.4512,-0.813,2.915,-0.2597,3.728,0.4142109611677224,East Africa,0.391476103680108,Low,1,Kenya,0.4138310556727507,0,-0.05288554644779502,1.1,0.4093524679665573,2025-08-03T19:02:30.646628
Ghana,187,1.0845,1.109,0.3244,0.11,1.934,-0.1073,1.824,0.299124020285846,West Africa,0.2718121040836593,Low,1,Ghana,0.2988484569322893,0,0.04112724560515946,1.2,0.37134687331721977,2025-08-03T19:02:30.646628
Niger,187,1.0657,1.072,0.9052,-2.478,3.568,-0.3235,6.046,0.8493947640048793,West Africa,0.6429275242670762,High,4,Niger,0.8485984812974595,1,-0.06104218249855112,1.2,0.516852405888726,2025-08-03T19:02:30.646628
Botswana,187,1.0645,1.065,0.9642,-1.608,3.509,-0.0931,5.117,0.9057773602630342,Southern Africa,0.6327786137274245,High,4,Botswana,0.9049272641952135,1,0.010443179750237772,1.1,0.4286291080790576,2025-08-03T19:02:30.646628
United Republic of Tanzania,187,1.0635,1.049,0.3525,0.341,2.138,0.3271,1.797,0.3314527503526093,Other/Islands,0.272968877974259,Low,1,United Republic of Tanzania,0.33114138093001416,0,-0.09798350619398878,1.0,0.4269477032617585,2025-08-03T19:02:30.646628
Burkina Faso,187,1.0482,1.037,0.6307,-0.963,3.046,0.0354,4.009,0.6016981492081664,West Africa,0.4547637336659789,Moderate,0,Burkina Faso,0.6011246664125048,0,-0.06640930244492153,1.2,0.46944324415210364,2025-08-03T19:02:30.646628
Sao Tome and Principe,183,1.0449,1.005,0.41,0.001,2.326,0.4424,2.325,0.3923820461288161,Other/Islands,0.3064479809077091,Low,1,Sao Tome and Principe,0.3920068840233292,0,0.009843061793456176,1.0,0.3056594241673717,2025-08-03T19:02:30.646628
Angola,187,1.0423,1.116,0.5988,-0.702,2.496,-0.5253,3.198,0.5744987047874892,Southern Africa,0.4108779938973622,Moderate,1,Angola,0.5739480494584492,0,0.03692332899977052,1.1,0.40638755622126277,2025-08-03T19:02:30.646628
Congo,187,1.0387,1.045,0.387,0.138,1.939,-0.1029,1.8010000000000002,0.3725811110041398,Central Africa,0.276127099043902,Low,1,Congo,0.37222275656439363,0,0.008568414059498526,1.0,0.29702107334534095,2025-08-03T19:02:30.646628
Uganda,187,1.0305,1.02,0.4697,-0.937,2.373,-0.4148,3.3100000000000005,0.4557981562348375,East Africa,0.3587991944715269,Low,1,Uganda,0.4553562772661174,0,-0.005782414119412027,1.1,0.318143327066857,2025-08-03T19:02:30.646628
Eswatini,184,1.0252,1.083,0.7721,-1.271,3.148,-0.1707,4.4190000000000005,0.7531213421771362,Southern Africa,0.5153201104594958,Moderate,4,Eswatini,0.7523874488403821,0,-0.01505518477946444,1.1,0.3965493364042954,2025-08-03T19:02:30.646628
Gabon,187,0.9979,0.957,0.4236,-0.121,2.292,0.3274,2.413,0.4244914320072151,Central Africa,0.2948282359034277,Low,1,Gabon,0.42406647312043244,0,-0.07392609951837137,1.0,0.4067913843810601,2025-08-03T19:02:30.646628
Cameroon,187,0.9795,0.988,0.4978,-0.296,2.299,0.0129,2.595,0.5082184788157224,Central Africa,0.3227207360871602,Low,1,Cameroon,0.5077001529831718,0,-0.03599221041973543,1.0,0.3628069463320889,2025-08-03T19:02:30.646628
Mozambique,187,0.967,1.014,0.5182,-0.647,2.529,-0.1279,3.176,0.5358841778697001,Southern Africa,0.3460333714281794,Low,1,Mozambique,0.5353305785123967,0,-0.023031938547989378,1.1,0.35113758209438267,2025-08-03T19:02:30.646628
Chad,187,0.9622,0.954,0.8674,-1.924,3.433,-0.182,5.356999999999999,0.9014757846601535,Central Africa,0.5592707198537786,Moderate,4,Chad,0.9005398671096344,1,0.05285611131094579,1.0,0.4592512896012742,2025-08-03T19:02:30.646628
Comoros,187,0.9564,0.953,0.458,-0.013,2.123,0.0883,2.136,0.4788791300710999,East Africa,0.2808358879310953,Low,1,Comoros,0.47837894297054523,0,0.01718091447842307,1.1,0.32530190412089127,2025-08-03T19:02:30.646628
Mayotte,187,0.9529,0.958,0.432,-0.022,2.086,0.126,2.108,0.4533529226571519,Other/Islands,0.2680739386054261,Low,1,Mayotte,0.4528776601320893,0,-0.0881520077681367,1.0,0.41651859329235325,2025-08-03T19:02:30.646628
Sierra Leone,187,0.9478,0.994,0.4524,-0.685,2.247,-0.3133,2.932,0.4773158894281494,West Africa,0.3031703189477929,Low,1,Sierra Leone,0.47681281618887017,0,0.01620419846973975,1.2,0.33069483964165114,2025-08-03T19:02:30.646628
Réunion,136,0.9451,0.9415,0.4335,-0.004,2.217,0.307,2.221,0.4586816209924875,Other/Islands,0.2693357059078777,Low,1,Réunion,0.4581968079484198,0,-0.019254114020815827,1.0,0.31207893334729275,2025-08-03T19:02:30.646628
Equatorial Guinea,187,0.9288,0.844,0.4356,-0.121,2.075,0.291,2.196,0.4689922480620155,Central Africa,0.2623034324955782,Low,1,Equatorial Guinea,0.4684878468487847,0,-0.03384610001529794,1.0,0.3368418490241769,2025-08-03T19:02:30.646628
Seychelles,187,0.9106,0.923,0.3498,-0.044,1.755,-0.0415,1.799,0.3841423237425873,East Africa,0.2065418092852622,Low,1,Seychelles,0.38372093023255816,0,0.030583814442043396,1.1,0.3191242524623725,2025-08-03T19:02:30.646628
Madagascar,187,0.8994,0.914,0.4457,-0.191,2.286,0.1328,2.477,0.4955525906159662,East Africa,0.2636766558303848,Low,1,Madagascar,0.49500222123500665,0,0.05154997612479755,1.1,0.37339403634960905,2025-08-03T19:02:30.646628
Zimbabwe,187,0.7605,0.745,0.7309,-1.026,2.973,0.3595,3.999,0.961078238001315,Southern Africa,0.3708759225583276,Low,3,Zimbabwe,0.9598161523309259,0,0.04656400595580993,1.1,0.3960362527690665,2025-08-03T19:02:30.646628
Central African Republic,187,0.7604,0.741,0.6157,-1.692,2.527,-0.1793,4.219,0.809705418200947,Central Africa,0.3331249345819441,Low,3,Central African Republic,0.808641975308642,0,-0.04196087616113193,1.0,0.3566137420779377,2025-08-03T19:02:30.646628
Namibia,187,0.7289,0.785,0.9636,-1.673,3.704,-0.0995,5.377000000000001,1.3219920428042256,Southern Africa,0.4981462423759688,Moderate,3,Namibia,1.3201808466913276,1,-0.01546061879256073,1.1,0.37328138616832307,2025-08-03T19:02:30.646628
Mauritius,187,0.6795,0.655,0.3813,-0.251,1.568,0.1618,1.819,0.5611479028697571,East Africa,0.1207991378549842,Very Low,1,Mauritius,0.5603232916972813,0,0.016563171570178198,1.1,0.25700220739273005,2025-08-03T19:02:30.646628
French Southern Territories,187,0.4693,0.453,0.6207,-2.075,1.99,-0.3375,4.065,1.322608139782655,Other/Islands,0.2050671209260016,Low,3,French Southern Territories,1.3197958749734213,0,0.04877725635611796,1.0,0.30985155209699794,2025-08-03T19:02:30.646628
Ethiopia PDR,0,,,,,,,,,Other/Islands,,Very Low,0,Ethiopia PDR,,0,-0.0239587118922645,1.0,,2025-08-03T19:02:30.646628
